Sc,lmh,SpAc,response,rt,subj_idx,CE,SC,CE_squared,SC_squared
1,low,Sp,1,0.269,ppn10,0.0596296377,0.6480349633,0.1446664164,0.0762806626
1,low,Sp,0,0.783,ppn10,0.1568774868,0.6529931321,0.0801470466,0.0735664573
1,low,Sp,1,0.626,ppn10,0.1126168563,0.6328396987,0.1071666436,0.084905105
1,low,Sp,1,0.637,ppn10,0.2130332562,0.725208263,0.0515048354,0.0396074643
1,low,Sp,1,0.366,ppn10,0.2670300826,0.6824057163,0.0299116823,0.0584763263
1,low,Sp,0,0.485,ppn10,0.1052262482,0.613989143,0.1120600905,0.0962459795
1,low,Sp,1,0.481,ppn10,0.1295338534,0.7066138817,0.0963768249,0.0473543831
1,low,Sp,1,0.48,ppn10,0.1389110648,0.5644203474,0.0906425182,0.1294590314
1,low,Sp,1,0.439,ppn10,0.1287784512,0.4955164182,0.096846419,0.1837906232
1,low,Sp,1,0.292,ppn10,0.0838686254,0.4829836706,0.1268153283,0.1946934734
1,low,Sp,0,0.403,ppn10,0.2174182759,0.6518448238,0.0495337317,0.0741906904
1,low,Sp,1,0.459,ppn10,0.1185032635,0.5291714763,0.1033473076,0.156066895
1,low,Sp,1,0.489,ppn10,0.151919303,0.5416646504,0.082978979,0.1463520419
1,low,Sp,1,0.27,ppn10,0.1194048981,0.5089442338,0.1027684114,0.1724577032
1,low,Sp,1,0.454,ppn10,0.15711148,0.6346380315,0.0800146132,0.0838603253
1,low,Sp,1,0.394,ppn10,0.2229748745,0.5981318376,0.0470912349,0.1063364273
1,low,Sp,1,0.375,ppn10,0.2173839317,0.6814514925,0.0495490203,0.0589387353
1,low,Sp,1,0.448,ppn10,0.0561977585,0.5550280765,0.1472888274,0.1363060024
1,low,Sp,1,0.405,ppn10,0.2512079036,0.5729367056,0.0356349135,0.1234031176
1,low,Sp,1,0.302,ppn10,0.1374758038,0.3998485133,0.0915088033,0.27497018
1,low,Sp,1,0.352,ppn10,0.1825730281,0.5435150208,0.0662583616,0.1449397109
1,low,Sp,1,0.446,ppn10,0.105398062,0.5387878553,0.1119450893,0.1485614105
1,low,Sp,1,0.498,ppn10,0.1800427638,0.555748864,0.0675673793,0.1357742976
1,low,Sp,1,0.51,ppn10,0.2342242613,0.7286964189,0.0423354339,0.0382312322
1,low,Sp,1,0.517,ppn10,0.0355354413,0.4661863952,0.1635754205,0.2097989095
1,low,Sp,1,0.358,ppn10,0.1255434644,0.5844311343,0.0988703501,0.1154595344
1,low,Sp,1,0.366,ppn10,0.1286997987,0.4953079543,0.0968953787,0.183969407
1,low,Sp,1,0.422,ppn10,0.1535660094,0.698784175,0.0820329878,0.0508233421
1,low,Sp,1,0.431,ppn10,0.1047284592,0.6550944993,0.1123936117,0.0724309596
1,low,Sp,1,0.442,ppn10,0.2396659348,0.69414459,0.0401257344,0.052936767
1,low,Sp,1,0.794,ppn10,0.1884617908,0.7230438455,0.0632614217,0.0404736575
1,low,Sp,1,0.486,ppn10,0.031691072,0.6460747863,0.1666998684,0.0773672657
1,low,Sp,1,0.343,ppn10,0.1004115805,0.5938717639,0.1153067279,0.1091329332
1,low,Sp,1,0.333,ppn10,0.1191372552,0.6576097914,0.1029400823,0.0710834052
1,low,Sp,1,0.35,ppn10,0.090813283,0.5546002635,0.1219174131,0.1366220795
1,low,Sp,1,0.415,ppn10,0.1367835884,0.6695216458,0.0919280786,0.0648735462
1,low,Sp,1,0.368,ppn10,0.2391103182,0.4555041992,0.0403486387,0.2196987245
1,low,Sp,1,0.376,ppn10,0.0575714177,0.5010286299,0.1462363422,0.1790947482
1,low,Sp,1,0.461,ppn10,0.1529206651,0.5344039821,0.0824030756,0.1519600396
1,low,Sp,1,0.32,ppn10,0.1348704419,0.510945698,0.0930918571,0.1707993718
1,low,Sp,1,0.375,ppn10,0.0332695772,0.6556153814,0.1654133876,0.072150861
1,low,Sp,1,0.359,ppn10,0.2011117998,0.6103475651,0.0570580286,0.098518733
1,low,Sp,1,0.45,ppn10,0.2168642877,0.6847696229,0.0497806318,0.0573386403
1,low,Sp,1,0.45,ppn10,0.1365081867,0.6804985848,0.0920951561,0.0594023239
1,low,Sp,1,0.339,ppn10,0.0915575072,0.5172507587,0.1213982503,0.1656276297
1,low,Sp,0,0.359,ppn10,0.1998974882,0.6608861411,0.057639624,0.0693470936
1,low,Sp,1,0.452,ppn10,0.1921600587,0.71250077,0.0614147352,0.0448269397
1,low,Sp,1,0.358,ppn10,0.1821173353,0.6867245559,0.0664931663,0.0564062255
1,low,Sp,1,0.333,ppn10,0.2072194462,0.4898465054,0.0541774866,0.188684246
1,low,Sp,1,0.386,ppn10,0.2358221037,0.5213565054,0.0416804565,0.1623026246
