,dier,Sc,lmh,SpAc,stimulus,stimulus_recoded_01,resp,correct,rt,subj_idx,CE,SC,CE_c,SC_c,CE_squared,SC_squared
0,nD,1,low,Sp,2,0,0,1,0.482,ppn11,0.0975348525,0.7548002089,-0.0995717624,-0.1503858822,0.0099145359,0.0226159136
1,nD,1,low,Sp,2,0,0,1,0.573,ppn11,0.1087318424,0.8373175516,-0.0883747725,-0.0678685395,0.0078101004,0.0046061387
2,nD,1,low,Sp,2,0,0,1,0.278,ppn11,0.1229330099,0.8238360329,-0.074173605,-0.0813500582,0.0055017237,0.006617832
3,D,1,low,Sp,1,1,0,0,0.324,ppn11,0.0990093457,0.7286219028,-0.0980972692,-0.1765641883,0.0096230742,0.0311749126
4,D,1,low,Sp,1,1,0,0,0.29,ppn11,0.1117095734,0.9450359448,-0.0853970415,0.0398498537,0.0072926547,0.0015880108
5,nD,1,low,Sp,2,0,0,1,0.432,ppn11,0.1055318305,0.8507771919,-0.0915747844,-0.0544088992,0.0083859411,0.0029603283
6,D,1,low,Sp,1,1,1,1,0.445,ppn11,0.1335816338,1.0047617713,-0.0635249811,0.0995756802,0.0040354232,0.0099153161
7,D,1,low,Sp,1,1,1,1,0.365,ppn11,0.1319361665,0.7822017233,-0.0651704484,-0.1229843678,0.0042471873,0.0151251547
8,nD,1,low,Sp,2,0,0,1,0.493,ppn11,0.1085999184,0.8208209069,-0.0885066965,-0.0843651842,0.0078334353,0.0071174843
9,nD,1,low,Sp,2,0,0,1,0.432,ppn11,0.12554579,0.9121679122,-0.0715608249,0.0069818211,0.0051209517,4.87458254066E-05
10,nD,1,low,Sp,2,0,0,1,0.385,ppn11,0.0501768939,0.9723040185,-0.146929721,0.0671179274,0.0215883429,0.0045048162
11,nD,1,low,Sp,2,0,0,1,0.42,ppn11,0.1387341203,0.7515573293,-0.0583724946,-0.1536287618,0.0034073481,0.0236017965
12,D,1,low,Sp,1,1,1,1,0.422,ppn11,0.1080143862,0.752028138,-0.0890922287,-0.1531579531,0.0079374252,0.0234573586
13,nD,1,low,Sp,2,0,0,1,0.541,ppn11,0.1238729484,1.0412408017,-0.0732336665,0.1360547106,0.0053631699,0.0185108843
14,nD,1,low,Sp,2,0,0,1,0.441,ppn11,0.1267265224,0.8031702897,-0.0703800925,-0.1020158014,0.0049533574,0.0104072237
15,D,1,low,Sp,1,1,1,1,0.498,ppn11,0.1153669506,0.7211428918,-0.0817396643,-0.1840431993,0.0066813727,0.0338718992
16,nD,1,low,Sp,2,0,0,1,0.423,ppn11,0.0685933124,0.7512150574,-0.1285133025,-0.1539710337,0.0165156689,0.0237070792
17,D,1,low,Sp,1,1,1,1,0.523,ppn11,0.105061823,0.8688939404,-0.0920447919,-0.0362921507,0.0084722437,0.0013171202
18,D,1,low,Sp,1,1,0,0,0.399,ppn11,0.1268942047,0.9519199161,-0.0702124102,0.046733825,0.0049297825,0.0021840504
19,nD,1,low,Sp,2,0,0,1,0.461,ppn11,0.1166613765,0.8917540561,-0.0804452384,-0.013432035,0.0064714364,0.0001804196
20,nD,1,low,Sp,2,0,0,1,0.336,ppn11,0.1368706602,0.9761855014,-0.0602359547,0.0709994103,0.0036283702,0.0050409163
21,nD,1,low,Sp,2,0,0,1,0.52,ppn11,0.12407359,1.0145248555,-0.0730330249,0.1093387644,0.0053338227,0.0119549654
22,D,1,low,Sp,1,1,1,1,0.501,ppn11,0.0355707868,0.8205337982,-0.1615358281,-0.0846522929,0.0260938238,0.0071660107
23,D,1,low,Sp,1,1,1,1,0.442,ppn11,0.115446445,0.8184986552,-0.0816601699,-0.0866874359,0.0066683833,0.0075147115
24,D,1,low,Sp,1,1,1,1,0.481,ppn11,0.1005355458,0.8280178322,-0.0965710691,-0.0771682589,0.0093259714,0.0059549402
25,D,1,low,Sp,1,1,1,1,0.505,ppn11,0.125933272,0.8013011599,-0.0711733429,-0.1038849312,0.0050656447,0.0107920789
26,D,1,low,Sp,1,1,1,1,0.466,ppn11,0.0571607593,0.7896381118,-0.1399458556,-0.1155479793,0.0195848425,0.0133513355
27,D,1,low,Sp,1,1,1,1,0.503,ppn11,0.0842402809,0.8459015912,-0.112866334,-0.0592844999,0.0127388094,0.0035146519
28,nD,1,low,Sp,2,0,0,1,0.476,ppn11,0.1280743733,0.9169344869,-0.0690322416,0.0117483958,0.0047654504,0.0001380248
29,D,1,low,Sp,1,1,1,1,0.428,ppn11,0.0445420346,0.7741206358,-0.1525645803,-0.1310654553,0.0232759512,0.0171781536
30,D,1,low,Sp,1,1,0,0,0.404,ppn11,0.1361566431,0.9795914797,-0.0609499718,0.0744053886,0.0037148991,0.0055361618
31,D,1,low,Sp,1,1,1,1,0.407,ppn11,0.1028867797,0.8418653611,-0.0942198352,-0.06332073,0.0088773773,0.0040095149
32,D,1,low,Sp,1,1,0,0,0.417,ppn11,0.1348931458,0.7870039355,-0.0622134691,-0.1181821556,0.0038705157,0.0139670219
33,D,1,low,Sp,1,1,1,1,0.535,ppn11,0.1208714394,0.7402739965,-0.0762351755,-0.1649120946,0.005811802,0.027195999
34,nD,1,low,Sp,2,0,0,1,0.4,ppn11,0.114079934,0.8169251174,-0.0830266809,-0.0882609737,0.0068934297,0.0077899995
35,nD,1,low,Sp,2,0,0,1,0.552,ppn11,0.0956299294,0.9324525668,-0.1014766855,0.0272664757,0.0102975177,0.0007434607
36,nD,1,low,Sp,2,0,0,1,0.286,ppn11,0.0871451749,0.7007577143,-0.10996144,-0.2044283768,0.0120915183,0.0417909613
37,D,1,low,Sp,1,1,0,0,0.276,ppn11,0.1272937267,0.7298964946,-0.0698128882,-0.1752895965,0.0048738394,0.0307264427
38,D,1,low,Sp,1,1,0,0,0.289,ppn11,0.1197825737,0.8456290528,-0.0773240412,-0.0595570383,0.0059790073,0.0035470408
39,nD,1,low,Sp,2,0,0,1,0.356,ppn11,0.0432215298,0.7694248513,-0.1538850851,-0.1357612398,0.0236806194,0.0184311142
40,D,1,low,Sp,1,1,1,1,0.478,ppn11,0.0963157478,0.9286077176,-0.1007908671,0.0234216265,0.0101587989,0.0005485726
41,D,1,low,Sp,1,1,1,1,0.486,ppn11,0.0768340105,0.8124273126,-0.1202726044,-0.0927587785,0.0144654994,0.008604191
42,D,1,low,Sp,1,1,1,1,0.421,ppn11,0.1341922203,0.7472017212,-0.0629143946,-0.1579843699,0.003958221,0.0249590611
43,D,1,low,Sp,1,1,0,0,0.258,ppn11,0.0888562895,0.7865147041,-0.1082503254,-0.118671387,0.0117181329,0.0140828981
44,nD,1,low,Sp,2,0,0,1,0.456,ppn11,0.1062214196,0.7279238524,-0.0908851953,-0.1772622387,0.0082601187,0.0314219013
45,nD,1,low,Sp,2,0,0,1,0.441,ppn11,0.1215069895,0.8545278182,-0.0755996254,-0.0506582729,0.0057153034,0.0025662606
46,nD,1,low,Sp,2,0,0,1,0.38,ppn11,0.1329021702,0.7412058361,-0.0642044447,-0.163980255,0.0041222107,0.026889524
47,D,1,low,Sp,1,1,0,0,0.316,ppn11,0.0967360797,0.9508125878,-0.1003705352,0.0456264967,0.0100742443,0.0020817772
48,nD,1,low,Sp,2,0,0,1,0.392,ppn11,0.1220445893,0.8835536289,-0.0750620256,-0.0216324622,0.0056343077,0.0004679634
49,nD,1,low,Sp,2,0,0,1,0.282,ppn11,0.0837257496,0.7888595459,-0.1133808653,-0.1163265452,0.0128552206,0.0135318651
50,nD,1,low,Sp,2,0,0,1,0.321,ppn11,0.086781634,0.7862682223,-0.1103249809,-0.1189178688,0.0121716014,0.0141414595
51,nD,1,low,Sp,2,0,0,1,0.419,ppn11,0.1226108973,0.9641341157,-0.0744957176,0.0589480246,0.0055496119,0.0034748696
52,D,1,low,Sp,1,1,1,1,0.416,ppn11,0.1031847803,0.9004724595,-0.0939218346,-0.0047136316,0.008821311,2.2218323175E-05
53,nD,1,low,Sp,2,0,0,1,0.432,ppn11,0.093116974,0.7844172285,-0.1039896409,-0.1207688626,0.0108138454,0.0145851182
54,D,1,low,Sp,1,1,1,1,0.532,ppn11,0.1303939432,0.7706327049,-0.0667126717,-0.1345533862,0.0044505806,0.0181046137
55,nD,1,low,Sp,2,0,0,1,0.472,ppn11,0.0595251656,0.7828032732,-0.1375814493,-0.1223828179,0.0189286552,0.0149775541
56,nD,1,low,Sp,2,0,0,1,0.509,ppn11,0.0940503398,0.7228168758,-0.1030562751,-0.1823692153,0.0106205958,0.0332585307
57,nD,1,low,Sp,2,0,0,1,0.301,ppn11,0.1046178052,0.822063052,-0.0924888097,-0.0831230391,0.0085541799,0.0069094396
58,D,1,low,Sp,1,1,1,1,0.493,ppn11,0.1209751685,0.7765681783,-0.0761314464,-0.1286179128,0.0057959971,0.0165425675
