Sc,SpAc,response,rt,subj_idx,CE,SC,CE_squared,SC_squared
1,Sp,1,0.482,ppn11,0.0975348525,0.7548002089,0.0099145359,0.0226159136
1,Sp,1,0.573,ppn11,0.1087318424,0.8373175516,0.0078101004,0.0046061387
1,Sp,1,0.278,ppn11,0.1229330099,0.8238360329,0.0055017237,0.006617832
1,Sp,0,0.324,ppn11,0.0990093457,0.7286219028,0.0096230742,0.0311749126
1,Sp,0,0.29,ppn11,0.1117095734,0.9450359448,0.0072926547,0.0015880108
1,Sp,1,0.432,ppn11,0.1055318305,0.8507771919,0.0083859411,0.0029603283
1,Sp,1,0.445,ppn11,0.1335816338,1.0047617713,0.0040354232,0.0099153161
1,Sp,1,0.365,ppn11,0.1319361665,0.7822017233,0.0042471873,0.0151251547
1,Sp,1,0.493,ppn11,0.1085999184,0.8208209069,0.0078334353,0.0071174843
1,Sp,1,0.432,ppn11,0.12554579,0.9121679122,0.0051209517,4.87458254066E-05
1,Sp,1,0.385,ppn11,0.0501768939,0.9723040185,0.0215883429,0.0045048162
1,Sp,1,0.42,ppn11,0.1387341203,0.7515573293,0.0034073481,0.0236017965
1,Sp,1,0.422,ppn11,0.1080143862,0.752028138,0.0079374252,0.0234573586
1,Sp,1,0.541,ppn11,0.1238729484,1.0412408017,0.0053631699,0.0185108843
1,Sp,1,0.441,ppn11,0.1267265224,0.8031702897,0.0049533574,0.0104072237
1,Sp,1,0.498,ppn11,0.1153669506,0.7211428918,0.0066813727,0.0338718992
1,Sp,1,0.423,ppn11,0.0685933124,0.7512150574,0.0165156689,0.0237070792
1,Sp,1,0.523,ppn11,0.105061823,0.8688939404,0.0084722437,0.0013171202
1,Sp,0,0.399,ppn11,0.1268942047,0.9519199161,0.0049297825,0.0021840504
1,Sp,1,0.461,ppn11,0.1166613765,0.8917540561,0.0064714364,0.0001804196
1,Sp,1,0.336,ppn11,0.1368706602,0.9761855014,0.0036283702,0.0050409163
1,Sp,1,0.52,ppn11,0.12407359,1.0145248555,0.0053338227,0.0119549654
1,Sp,1,0.501,ppn11,0.0355707868,0.8205337982,0.0260938238,0.0071660107
1,Sp,1,0.442,ppn11,0.115446445,0.8184986552,0.0066683833,0.0075147115
1,Sp,1,0.481,ppn11,0.1005355458,0.8280178322,0.0093259714,0.0059549402
1,Sp,1,0.505,ppn11,0.125933272,0.8013011599,0.0050656447,0.0107920789
1,Sp,1,0.466,ppn11,0.0571607593,0.7896381118,0.0195848425,0.0133513355
1,Sp,1,0.503,ppn11,0.0842402809,0.8459015912,0.0127388094,0.0035146519
1,Sp,1,0.476,ppn11,0.1280743733,0.9169344869,0.0047654504,0.0001380248
1,Sp,1,0.428,ppn11,0.0445420346,0.7741206358,0.0232759512,0.0171781536
1,Sp,0,0.404,ppn11,0.1361566431,0.9795914797,0.0037148991,0.0055361618
1,Sp,1,0.407,ppn11,0.1028867797,0.8418653611,0.0088773773,0.0040095149
1,Sp,0,0.417,ppn11,0.1348931458,0.7870039355,0.0038705157,0.0139670219
1,Sp,1,0.535,ppn11,0.1208714394,0.7402739965,0.005811802,0.027195999
1,Sp,1,0.4,ppn11,0.114079934,0.8169251174,0.0068934297,0.0077899995
1,Sp,1,0.552,ppn11,0.0956299294,0.9324525668,0.0102975177,0.0007434607
1,Sp,1,0.286,ppn11,0.0871451749,0.7007577143,0.0120915183,0.0417909613
1,Sp,0,0.276,ppn11,0.1272937267,0.7298964946,0.0048738394,0.0307264427
1,Sp,0,0.289,ppn11,0.1197825737,0.8456290528,0.0059790073,0.0035470408
1,Sp,1,0.356,ppn11,0.0432215298,0.7694248513,0.0236806194,0.0184311142
1,Sp,1,0.478,ppn11,0.0963157478,0.9286077176,0.0101587989,0.0005485726
1,Sp,1,0.486,ppn11,0.0768340105,0.8124273126,0.0144654994,0.008604191
1,Sp,1,0.421,ppn11,0.1341922203,0.7472017212,0.003958221,0.0249590611
1,Sp,0,0.258,ppn11,0.0888562895,0.7865147041,0.0117181329,0.0140828981
1,Sp,1,0.456,ppn11,0.1062214196,0.7279238524,0.0082601187,0.0314219013
1,Sp,1,0.441,ppn11,0.1215069895,0.8545278182,0.0057153034,0.0025662606
1,Sp,1,0.38,ppn11,0.1329021702,0.7412058361,0.0041222107,0.026889524
1,Sp,0,0.316,ppn11,0.0967360797,0.9508125878,0.0100742443,0.0020817772
1,Sp,1,0.392,ppn11,0.1220445893,0.8835536289,0.0056343077,0.0004679634
1,Sp,1,0.282,ppn11,0.0837257496,0.7888595459,0.0128552206,0.0135318651
1,Sp,1,0.321,ppn11,0.086781634,0.7862682223,0.0121716014,0.0141414595
1,Sp,1,0.419,ppn11,0.1226108973,0.9641341157,0.0055496119,0.0034748696
1,Sp,1,0.416,ppn11,0.1031847803,0.9004724595,0.008821311,2.2218323175E-05
1,Sp,1,0.432,ppn11,0.093116974,0.7844172285,0.0108138454,0.0145851182
1,Sp,1,0.532,ppn11,0.1303939432,0.7706327049,0.0044505806,0.0181046137
1,Sp,1,0.472,ppn11,0.0595251656,0.7828032732,0.0189286552,0.0149775541
1,Sp,1,0.509,ppn11,0.0940503398,0.7228168758,0.0106205958,0.0332585307
