,subj_idx,Sc,SpAc,rt
0,ppn1,1,Ac,579.209
1,ppn1,1,Sp,420.931
2,ppn1,2,Ac,563.869
3,ppn1,2,Sp,426.214
4,ppn1,3,Ac,586.007
5,ppn1,3,Sp,443.69
6,ppn10,1,Ac,477.09
7,ppn10,1,Sp,400.593
8,ppn10,2,Ac,483.242
9,ppn10,2,Sp,382.167
10,ppn10,3,Ac,502.66
11,ppn10,3,Sp,412.306
12,ppn11,1,Ac,473.206
13,ppn11,1,Sp,347.503
14,ppn11,2,Ac,467.248
15,ppn11,2,Sp,337.89
16,ppn11,3,Ac,481.288
17,ppn11,3,Sp,348.909
18,ppn12,1,Ac,566.381
19,ppn12,1,Sp,472.374
20,ppn12,2,Ac,535.507
21,ppn12,2,Sp,444.838
22,ppn12,3,Ac,561.776
23,ppn12,3,Sp,481.512
24,ppn13,1,Ac,817.258
25,ppn13,1,Sp,400.413
26,ppn13,2,Ac,797.264
27,ppn13,2,Sp,412.313
28,ppn13,3,Ac,784.94
29,ppn13,3,Sp,410.0
30,ppn14,1,Ac,472.048
31,ppn14,1,Sp,392.109
32,ppn14,2,Ac,470.66
33,ppn14,2,Sp,395.111
34,ppn14,3,Ac,493.247
35,ppn14,3,Sp,383.811
36,ppn15,1,Ac,520.068
37,ppn15,1,Sp,467.208
38,ppn15,2,Ac,512.128
39,ppn15,2,Sp,473.133
40,ppn15,3,Ac,520.808
41,ppn15,3,Sp,482.056
42,ppn16,1,Ac,497.529
43,ppn16,1,Sp,412.141
44,ppn16,2,Ac,500.0
45,ppn16,2,Sp,413.766
46,ppn16,3,Ac,526.256
47,ppn16,3,Sp,428.596
48,ppn17,1,Ac,403.651
49,ppn17,1,Sp,379.561
50,ppn17,2,Ac,401.289
51,ppn17,2,Sp,379.269
52,ppn17,3,Ac,424.09
53,ppn17,3,Sp,381.573
54,ppn18,1,Ac,406.632
55,ppn18,1,Sp,359.957
56,ppn18,2,Ac,388.098
57,ppn18,2,Sp,355.445
58,ppn18,3,Ac,412.396
59,ppn18,3,Sp,372.843
60,ppn19,1,Ac,500.653
61,ppn19,1,Sp,377.554
62,ppn19,2,Ac,507.538
63,ppn19,2,Sp,390.311
64,ppn19,3,Ac,526.253
65,ppn19,3,Sp,392.528
66,ppn2,1,Ac,636.493
67,ppn2,1,Sp,493.563
68,ppn2,2,Ac,633.116
69,ppn2,2,Sp,487.187
70,ppn2,3,Ac,640.021
71,ppn2,3,Sp,495.416
72,ppn20,1,Ac,548.267
73,ppn20,1,Sp,414.897
74,ppn20,2,Ac,529.268
75,ppn20,2,Sp,406.199
76,ppn20,3,Ac,526.966
77,ppn20,3,Sp,417.221
78,ppn3,1,Ac,592.299
79,ppn3,1,Sp,415.37
80,ppn3,2,Ac,598.033
81,ppn3,2,Sp,419.725
82,ppn3,3,Ac,630.883
83,ppn3,3,Sp,441.797
84,ppn5,1,Ac,501.573
85,ppn5,1,Sp,393.262
86,ppn5,2,Ac,502.614
87,ppn5,2,Sp,389.611
88,ppn5,3,Ac,497.462
89,ppn5,3,Sp,399.899
90,ppn6,1,Ac,385.76
91,ppn6,1,Sp,365.476
92,ppn6,2,Ac,392.48
93,ppn6,2,Sp,370.424
94,ppn6,3,Ac,397.412
95,ppn6,3,Sp,382.014
96,ppn7,1,Ac,551.75
97,ppn7,1,Sp,426.372
98,ppn7,2,Ac,550.745
99,ppn7,2,Sp,409.041
100,ppn7,3,Ac,563.19
101,ppn7,3,Sp,425.225
102,ppn8,1,Ac,450.772
103,ppn8,1,Sp,352.478
104,ppn8,2,Ac,462.819
105,ppn8,2,Sp,366.117
106,ppn8,3,Ac,483.748
107,ppn8,3,Sp,376.836
108,ppn9,1,Ac,413.618
109,ppn9,1,Sp,352.047
110,ppn9,2,Ac,420.872
111,ppn9,2,Sp,343.816
112,ppn9,3,Ac,437.934
113,ppn9,3,Sp,364.331
